Sr No,Text,Original sentiment Score,Predicted Sentiment Score,S-Precision,S-Recall,Sentiment F1 Score,S-Accuracy,Word-Sentiment Pairing,sentiment-score pairing
297,"i like to study physics, chemistry and maths but when it comes to english i dont feel there's any need for this subject.i mostly get irritated  when my parents force me to study i dont like when others tell me how to study when to study i like to do things on my own. i dont really feel the pressure as i manage to get good marks but i really stress for studying for mcq type questions.i do hesitate to ask queries in class. i dont feel studies are not important. my parents never compare me with anyone",anxious,anxious,1,1,1,1,{'hesitate': 'anxious'},{'anxious': 80}
298,i like to study but when i dont understand any topic i get irritated. as i am a science student i get irritated while doing chemistry and physics. studies are very important for me. i dont hesitate to ask question in class.,irritable,irritable,1,1,1,1,{'irritated': 'irritable'},{'irritable': 100}
299,the fact that screen time is high due to online lectures and the tendency to switch tabs and watch somethings more fun.  there are times when i feel i know everything. i personally feel studies are not essentil for me as i want to do blockchain development or design ux both of which are not taught in schools in india.,NIL,NIL,1,1,1,1,NIL,NIL
300,i get irritated about studies sometimes because some concepts are not cleared properly or dont understand it. i dont feel like i know everything. i dont hesitate to ask questoins in class. i freely ask all doubts in class.i feel studies are essential for me i dont distracted and i also dont compare myself with anyone.,NIL,proud,0,0,0,0,{'i know everything': 'proud'},{'proud': 60}
301,procastination is a prime reason because of which i tend to delay my study. i dont irritated but when i have to study long hours without breaks during exam it exhausts me. i dont feel pressure but while exams i get stressed. i do get hesitated to ask queries.i do compare myself with others. ,"careless,upset,anxious","careless,anxious,upset",1,1,1,1,"{'delay': 'careless', 'hesitate': 'anxious', 'compare': 'upset'}","{'careless': 60, 'anxious': 80, 'upset': 80}"
302,the things which take me in deep sorrow is guilt of wasting time on mobile.i hate it when i am too harsh on myself. though my parents dont say anything there is an inbuilt pressure. distractions are due to social mediaor using mobile phone.i used to hesitate to ask but i ask sometimes.,"careless,upset,anxious,sad","upset,anxious,sad,careless",1,1,1,1,"{'sorrow': 'sad', 'guilt': 'upset', 'waste': 'careless', 'pressure': 'anxious'}","{'sad': 80, 'upset': 70, 'careless': 80, 'anxious': 80}"
303,while studying i sometimes get into deep sorrowseeing my portion which is much vast and also  due to the lack of time. i get irritated while studying when the topics are difficult and tiime consuming sometimes i feel pressurised due to competitive nature. no i dont really hesitate to ask questions.i do feel studies are essential for my future. i never get compared by anyone.,NIL,NIL,1,1,1,1,NIL,NIL
304,"sometimes when i am not able to concentrate . it takes me more time but less productivitywhich takes me in sorrow. the laziness bothers me most,as for studies it does affect me. i feel pressured about the expectation. yes i get confused about hard topics. no i dont hesitate to ask many questions. studies are essential obv but some subjects are useless.","careless,confused,anxious,sad","sad,careless,anxious,upset,confused",0.8,1,0.888888889,0.965517241,"{'sorrow': 'sad', 'bothers me': 'upset', 'laziness': 'careless', 'pressured': 'anxious', 'confused': 'confused'}","{'sad': 80, 'upset': 60, 'careless': 80, 'anxious': 80, 'confused': 100}"
305,i do feel that studies are essential for me but sometimes it's very annoying to study because i am quite of a lazy person. i get irritated when i dont understand what i am studying or cant focus.yes! i do get confused but i am not pressurised and my parents are quite supportive of me.  sometimes i hesitate to ask questions non of friends or parents compare me with anyone.,confused,confused,1,1,1,1,{'confused': 'confused'},{'confused': 100}
306,i am unable study because of pressure of marks it's not because parents or teachers but because of me. i dont irritated while studying but mobiles and tv distracts me. i feel studying is the most important thing for me. no one compares me with everyone i expect so much from myself that sometimes after results i get sad.,"anxious,distracted",anxious,1,0.5,0.666666667,0.965517241,{'pressure': 'anxious'},{'anxious': 80}
307,im an integrated student preparing for jee and managing college same time is causing a lot of trouble.  my classes is teaching class 11 hsc syllabus which the same as class 12 cbse. recently i got covi now i feel like i have to study bith class 11 and 12 at same time. though being a teenager i dont have any disractions but i couldnt be any more than an average student.,NIL,NIL,1,1,1,1,NIL,NIL
308,yes i am feel pressure for completing our course because of the major issue as family financial problem and also mind get distract how can pay my 2 years college fees by own.,"anxious,distracted","anxious,distracted",1,1,1,1,"{'pressure': 'anxious', 'distract': 'distracted'}","{'anxious': 80, 'distracted': 100}"
309,anxiety and depression. serious mental stress is a fact of life for many american teens. ...,NIL,NIL,1,1,1,1,NIL,NIL
310,"anxiety and depression. serious mental stress is a fact of life for many american teens. ... 
alcohol and drugs. anxiety and depression arent the only concerns for u.s. teens. ...",NIL,NIL,1,1,1,1,NIL,NIL
311,there a small problem that i cant get a regularity,NIL,NIL,1,1,1,1,NIL,NIL
312,right now not any problem,NIL,NIL,1,1,1,1,NIL,NIL
313,"anxiety and depression. serious mental stress is a fact of life for many american teens. ...
",NIL,NIL,1,1,1,1,NIL,NIL
314,"there are times when i feel very low in my life related to studies , i feel like i have to study so much but i havent. i have to take time from my schedule to study but due to college attendance , submissions i am unable to do so. i get so tired after coming back to home that i never study. and at the time of exams i feel pressurized. social media is the thing which distract me the most . yes i do feel confused, we all have such a vast syllabus. it's so difficult to choose from where to study. yes sometimes i hesitate to ask questions in front of my entire class. i feel like whether my question is correct or not will they make fun of my. the main problem of mine is i think alot and at the end i dont to the things. many of the time i myself compare me with my friends . when i was a kid my parents always use to ask my friends marks which made me like this. i know i should not compare myself with anyone and i know everyone is unique and different . after comparing myself i feel demotivated which is not good for me.","confused,upset,distracted,tired","upset,confused,tired,distracted",1,1,1,1,"{'tired': 'tired', 'distract': 'distracted', 'confused': 'confused', 'compare': 'upset'}","{'tired': 100, 'distracted': 100, 'confused': 100, 'upset': 80}"
315,anxiety and depression. serious mental stress is a fact of life for many teens. ...,NIL,NIL,1,1,1,1,NIL,NIL
316,"practicality and relevancy of the content matters a lot. when it haplens that i have to do that thing just for the sake of doing it, i get irritated of the studies.",NIL,NIL,1,1,1,1,NIL,NIL
317,"1.the thing that take me to deep sorrow is that i have taken drop for two years and in those two years i havent achieved anything after 12th and now i am studying with my juniors and that part take me to sorrow most of the times.
2.i do hardwork on behalf of my study but i didnt make it consistent though that and that makes me irritated.
3.the link between two chapters feels like i am missing out something in the prior chapter and thats why i am unable to do this chapter along so i skipped both chapter and starts from beginning and as a matter of time i could not finish one of them and get stucked.
4.a lot means a lot of pressure as my gap years i had to go in some othe city i cut off from my circle and my friends, as i find myself being alone and not done anything worth remembering. the faith of my parents from me has gone as well but somehow i manage to convince for my further studies.i have been struggling a lot but not funding any way and now i am stuck with this and get used to being alone and myself every single day.
5.the thing that others are doing great as compare to me while they now hold the responsibility of their family they earn they enjoy and they can spend while i have not earn any single penny till this date make me distracted towards my studies and makes me thinking of doing a job as if i think that what i am doing is worth it or i just wasting my time and parents money both.
6.i didnt confused as i know what to do but confusion is normal in studies something yes sometimes no.
7.i dont know everything that i agree but i just love doing the practical part and exploring new tech and doing it in different ways faster and convenient but these mugup parts which i think no use in the future is taking a lot of time to concentrate on my practicals part as i have a very bad habit of doing things halfway done...
8.yes, very often i just think of others what will they say or what teacher will think that what a silly questions or even the hard one i hesitate and nevered asked my query to teacher.
9.no, study is essential for everybody but, what kind of study the study in a certain field or a subject i didnt clearify the concept of studying as i think one can master themselves in any field if they had to teached in that field but now i dont know but i feel the studies we are doing is the one which is getting away from building a better career. 
10.yes i compare myself to everyone out there i dont know why i tried not to but as it looks like its automated 
there is a lot of problems i am facing this is just a glimpse or my thoughts that i have been connected to everyday but till i am not willing to give up and fighting through all difficulties on my own.
and thats the best part about me that i never stopped believing.
the things i have written makes you think of me just a bit silly but could not control myself when i think of my past...
tomorrow is my exam but still the past thing and my current situation provokes me to write all this.
thank you.

","anxious,irritable,sad,upset","irritable,confused,sad,anxious",0.75,0.75,0.75,0.931034483,"{'sorrow': 'sad', 'irritated': 'irritable', 'pressure': 'anxious', 'dont know': 'confused'}","{'sad': 80, 'irritable': 100, 'anxious': 80, 'confused': 80}"
318,anxiety and depression. serious mental stress is a fact of life for many teens. ...,NIL,NIL,1,1,1,1,NIL,NIL
319,"mind diversion,distraction, focuss issue etc.",NIL,NIL,1,1,1,1,NIL,NIL
320,mobile phone is the biggest distraction in studies,NIL,NIL,1,1,1,1,NIL,NIL
321,lack of confidence is sometimes the reason of not able to study.when there are less leaves in between the exam and less time to prepare is the reason i get irritated .my marks matters for me.phone distracts me from studies.,distracted,distracted,1,1,1,1,"{'phone': 'distracted', 'distract': 'distracted'}",{'distracted': 98}
322,some past bad memories distract me from studying sometimes.,NIL,NIL,1,1,1,1,NIL,NIL
323,"1)the 1st problem that everyone face i guess is not getting a good guide/faculty. it depends on luck whether you will get a good faculty or not. some faculties teaches very well. some are not able to explain concepts well. a solution for this problem could be that any teaching related organisation should select some students randomly and the new faculty should be made to give lecture to those students and if majority of students approve the faculty then only the faculty should be hired. secret ballot method should be used for voting.
2) exams:- the exams which evaluates the students based on your memorising ability are useless and just adds stress to a student's life. 
exams should be more practical based.
3) compulsory attendance:- universities make it compulsory for every student to take admission in a college for giving a university exam and get a degree. thats totally unfair. students should be allowed to give university exam even if they have not taken admission in any college.what if someone doesnt have enough money to pay fees... what if someone doesnt want to waste time by traveling to collect and attend lectures which they dont understand and just do self-study . 
4) syllabus design and time constraints:- many times syllabus is not designed considering industry requirements or attimes the syllabus is not designed considering the time constraints.",NIL,NIL,1,1,1,1,NIL,NIL
324,"the main cause is focus, it's not distraction but it's because of too many options in the current world. in this era people are not just following a career path, they are constantly making new paths. and we as teenagers are standing at the point to decide what will make us feel happy and satisfied for next 40 years and that's not an easy task. for example playing video games is considered as ""time wasting"" even i never played any, but then the truth is gaming industry is the biggest industry world wide today. so was i wrong to never touch any video games? people are making millions out of it, and in 2022 money is the only motive. but such career paths are still extraordinary thing for us. it's hard to make people understand we can vlog ourselves and make a career out of it. but then such careers are like stars in the sky, i can admire them but never touch them. *resources* lack of resources makes us feel paralyzed. the difference between the current trend and the theoretical knowledge we are getting from the books is a point of great concern. the world is moving forward with blockchain, metaverse, crypto and there is an indeed absence of such topics in our syllabus. the curriculum mainly focuses on preparing students wrt to companies but what if someone wants to explore through freelancing or startup. students should have liberties towards empowering themselves as personalities but with the current theories and syllabus there's too much focus on technical subjects and for someone who is good at management skills it becomes hard to decide the right path. from the age of 19-23 i will attend this degree but in this four years there's no help for me to understand finance in life and related knowledge. to cope with the current smartest generation of all time, the core functions should be reconstructed. studying is hard for me cause it's deeply concerntrated with studying technical. or else i've to do something extraordinary but then again the theoretical race i am running from 15 years showed me that i am not that extraordinary smart human. maybe i am not running the right race but there's no time left to decide the right and wrong and stick to what i have.

the solution is teaching focus to the teens, there's a heavy lack of philosophy and brain teaching in our country. how to control it, how to use it and how to take decisions. teaching ethics and values from childhood.","distracted,upset","careless,upset",0.5,0.5,0.5,0.931034483,"{'waste': 'careless', 'wrong': 'upset'}","{'careless': 80, 'upset': 60}"
325,"currently technology changes day by day but our syllabus is not up to date mainted because that only i dont feel to study from syllabus ,why we should cover this outdated things for exam point of view",NIL,NIL,1,1,1,1,NIL,NIL
326,the biggest distraction in studies is this phone. but more than that which distracts us the most is our thoughts. we dont know how to control our thoughts and think that's the biggest distraction for our studies. i think that learning is essential for us. no i dont compare myself with anyone everyone have different privileges so why so why to compare ourself with others.,NIL,NIL,1,1,1,1,NIL,NIL
327,when i feel emotionally low bcoz of things around me. when things at home are not fine. when there is too much of work and peer pressure of doing and excelling. mobile phones are a biggest distraction. studying well and still not being appreciated makes my moral and motivation go down .,NIL,NIL,1,1,1,1,NIL,NIL
328,the problem is lack of confidence after studying the whole unit of any subject its unable to remember and soon as i go to exam and seat in the hall there is some nervousness and i forgot many of things which i study the main thing is focus and concentration many things distracts me like firstly is social media and the thing which takes me up in deep overthinking or deep sorrow is my passion in which i was suppose to built up my career. thank you,"sad,nervous,distracted,forgetful","sad,forgetful,nervous,distracted",1,1,1,1,"{'nervousness': 'nervous', 'forget': 'forgetful', 'distract': 'distracted', 'sorrow': 'sad'}","{'nervous': 100, 'forgetful': 100, 'distracted': 100, 'sad': 80}"
329,"i fail to manage time for study. 
i came to college after traveling 25-30 kms, it takes 1.5-2 hours to come to college and same to go to home after the lecture are done. 
traveling 3.30 hours daily via pmpml buses daily make me so irritate.","irritable,sad","irritable,sad",1,1,1,1,"{'fail': 'sad', 'irritate': 'irritable'}","{'sad': 80, 'irritable': 100}"
330,i havent deep sorrow because of which i am unable to study. projects irritated me. our parents bother us related to our studies. i dont feel pressure when i am doing my studies. the mobile distracts from my studies. i am confused when i have many doubts. my parents and teachers ask me to do study. i hesitate to ask doubts in the class. i feel studies are essential for me. my father compares me with my friends in studies. ,"anxious,irritable,upset,distracted","upset,irritable,anxious,distracted",1,1,1,1,"{'irritate': 'irritable', 'mobile': 'distracted', 'distract': 'distracted', 'hesitate': 'anxious', 'compare': 'upset'}","{'irritable': 100, 'distracted': 98, 'anxious': 80, 'upset': 80}"
331,i have not any sorrow unable to study. i get irritated about studies because of doubts. i have bothered of assignments and projects. i have pressure of exam and test. my friends distracts from my studies. i have confused during exam on questions. my parents say about study. i hesitate to ask doubt of math queries. i feel studies are essential for me because that makes my carrer. my parents compare with my friends on my study. ,"anxious,irritable,upset,distracted,confused","irritable,anxious,upset,confused,distracted",1,1,1,1,"{'irritated': 'irritable', 'pressure': 'anxious', 'distract': 'distracted', 'confuse': 'confused', 'hesitate': 'anxious', 'compare': 'upset'}","{'irritable': 100, 'anxious': 80, 'distracted': 100, 'confused': 100, 'upset': 80}"
332,"no, i am able to study and i dont have any sorrow. i get irritated when there are projects which are unnecessary. no, nothing bother me while study. no, i dont have pressure. friends as well as gadgets distracts me from my studies. yes, i get confused while study, because of some doubts. no, i dont think i know everything. no, i dont hesitate while asking queries in class. studies are very important to us. yes, my friends compare me from a lot of people.","upset,distracted","upset,confused,distracted",0.666666667,1,0.8,0.965517241,"{'distract': 'distracted', 'confused': 'confused', 'compare': 'upset'}","{'distracted': 100, 'confused': 100, 'upset': 80}"
333,"distractions are very common among students and classmates and especially if you are sitting with your best friends. since you know your best friends a lot, you will talk a lot, you will have a lot of fun and hence you have fun, you get distracted 
",NIL,NIL,1,1,1,1,NIL,NIL
334,"1my looks and things that i (as example) did what i regret. 
2when things dont work or when i dont it because i get irritated fast when things dont work. 
3when things dont work. 
4yea mostly alot because i do wanna understand everything but teachers give homework tests and little things u need to understand and all of those things u need to do at school but also at home. 
5mostly my phone. 
6yes i sometimes just dont understand what im reading and constantly forget what i have read. 
7no i dont understand most things. 
8no i just ask anything i want but if it will take to long for them to help me i mostly just skip the question. 
9no i care more about my happiness and friends.
10yes my parents and i do.","upset,confused","upset,confused",1,1,1,1,"{'regret': 'upset', 'dont understand': 'confused'}","{'upset': 90, 'confused': 80}"
335,i get irritated when i just dont understand something and then i just dont want to study anymore.  i get distracted really fast. yes sometimes i do because i want a good grade but eventually i still dont a good grade. my phone and just sounds. yes because sometimes i feel like we have never had this in school.  no because mostly i dont know. yes sometimes my parents compare me with my friend that are smarter.,distracted,distracted,1,1,1,1,{'distract': 'distracted'},{'distracted': 100}
336,"1 gaming 
2 if i need to do homework
3 homework
4 yes because i need to do it before a day and if i dont it will get me bad grades
5 my phone
6 yes at maths because i dont understand it
7 no i dont understand everything
8 no
9 no it is assential
10 yes, me
",confused,confused,1,1,1,1,{'dont understand': 'confused'},{'confused': 80}
337,"i am studying in 12th commerce. we feel much pressure of studies in standard 10th. after  that, we managed studies and other activities. during corona we feel deep sorrow. at that time we felt everything is going to change. we tried to cooperate with our teachers and parents. we all now a days use mobile phones, laptops, i-pads, we learn many things from there. even in our studies google help us to find many answers. there are several education apps also available. so it's not like that as we are watching only bad things on phones but also we try to learn from it. we all are serious about our future. we discussed many things in groups which gives us many more ideas. rather than comparing with each other we always help each other.  ",NIL,NIL,1,1,1,1,NIL,NIL
338,"few factors which reduce studying capacity are lengthy answers, high-level language used in books, concentration on specific topics, noise around me, some interesting event happening around me like live matches or tournaments. long studies really irritates me also language subjects irritates me. as mentioned above some interesting events around me distracts from studies like live matches, marriage function, cricket tournaments etc. i dont hesitate to ask questions in the class also i feel studies are the most important aspect of life. ","irritable,distracted,bored","irritable,bored,distracted",1,1,1,1,"{'lengthy': 'bored', 'noise': 'irritable', 'irritate': 'irritable', 'distract': 'distracted'}","{'bored': 70, 'irritable': 93, 'distracted': 100}"
339,"i am studying in icse board. i feel we have many subjects to study and require constant practice. some of my friends are studying in state board when i saw there books i feel why i need to study more if we both are in the same standard. there has to be same portion, same studies and equal burdon for all boards. we all gets distracted now a days due to excessive use of mobile phones. we all know that using mobile, laptops for long is not good but anyhow we cant avoid it. also my elder friends started going for parties, pubs. they discussed fun they had there. so we feel we should also go and enjoy that imagination sometimes distract us. our parents dont pressurise us more, but of course they have some expectation from us. ",NIL,NIL,1,1,1,1,NIL,NIL
340,"reasons for distractions are as below 1) loud sound 2) revisions of memories 3) some recent achievements and failures 4) extra curricular activities. sometims i do ask questions outside the class. i sometime feel, other students may laugh at it. yes, i feel pressure of scoring high marks be in top rank. but i try to overcome on it by diverting myself to other relaxation activities. studies are very essential specially for higher education and success in life. no i dont feel that i know everything about studies and subjects. always there are many hidden areas which i try to explore everytime. ",distracted,"anxious,distracted",0.5,1,0.666666667,0.965517241,"{'pressure': 'anxious', 'divert': 'distracted'}","{'anxious': 80, 'distracted': 80}"
341,"i am studying in grade 10. i do face many problems and distractions while studying. as we know that 10th is a crusial year of education, there are lot of factors that stop me from studying. many times my younger sister is playing video games on her phone and enjoying movies, sometimes even with her friends. that feel me tempt towards all there distractions and i often end up with not completimg the given hw on time. there is also a load of pressure from classes. they continuously burden us with hw and revisions and also exams! this load makes me feel that it is impossible to complete learning such a big chapters and hence i dont study. ","distracted,tired","tired,distracted",1,1,1,1,"{'distraction': 'distracted', 'dont study': 'tired'}","{'distracted': 100, 'tired': 70}"
342,"there are many factors which distract me while studying. the problem is that i dont know how to avoid these things. it isnt possible for me to study in an environment where someone is just talking continuously. it also isnt possible when someone is in the room just beside you, and has her tv on on a high volume. this makes it extremely difficult to concentrate on anything. these were the external factors. the internal factors are when you have tremendous pressure of studies. you keep on worrying about upcoming exam. also when someone like your parents or teacher pressures you of scoring a desired marks, it is hard to focus and i am always tense. there are some of the things that distract me while studying. ","distracted,confused","confused,distracted",1,1,1,1,"{'distract': 'distracted', 'dont know': 'confused'}","{'distracted': 100, 'confused': 80}"
343,"thanks for giving me opportunity to express 1) expectation from teachers, parents 2) in vacation we have classes that really irritates 3) large topics and vast portion 4) yes always 5) mobile 6) many times. we have many books for reference we really dont understand sometimes which to follow. 7) no but yes sometimes i feel parents should not interfere in our studies much. 8) yes, i am introvert girl and dont like to express anything openly in class. 9) i know its essential but only some part of it is really useful for our future. 10) parents",irritable,irritable,1,1,1,1,"{'irritate': 'irritable', 'dont like': 'irritable'}",{'irritable': 80}
344,"1) my parents disputes 2) subjects i feel not useful for my future likings 3) vast portion 4) yes much more 5) many things … t.v. , mobile, atmosphere at our home. 6) i dont like maths and want to study hotel management. still i need to study maths which i dont understand, why. 7) no. 8) sometimes but we solve quaries with friends. 9) only subjects useful for future. 10) we always compare with each other.","anxious,irritable,confused","anxious,irritable,confused",1,1,1,1,"{'dispute': 'anxious', 'dont like': 'irritable', 'dont understand': 'confused'}","{'anxious': 70, 'irritable': 60, 'confused': 80}"
345,"i have just finished my college end year. i am studying bcom. i wish to apply for mba in future. many things distracts me for studies. mainly use of mobile phones. we cant avoid useage of mobile phones. we watch almost all the day many things. we love to explore ourselves on social media. we thank whatapp, snapchat, fb all brings people clase. we can share anything on twitter. since we underrstand important of study and good career now we always try to concentrate while studying too. parents always supports us and guide us. we are really thankful to them. ",distracted,distracted,1,1,1,1,{'distract': 'distracted'},{'distracted': 100}
346,"corona and lock down made us very disturbed last 2 years. almost all of us need to go for online studies which were very irritating. we tried our best in that period and all our teacher too cooperate us very well. in regular days mobile distracts us. its not possible now to avoid phones , we use insta, watch youtube and much more sometimes. while studying also we think about messages, whatsapp etc.  from 9th standard we feel much pressure in our studies. tutions, school, projects, homework, tests, we dont time for sports or any extra activities. we mostly do group studies which helps us in solving doubts. we scored for parent's expectations for sometime.",NIL,NIL,1,1,1,1,NIL,NIL
347,"1. t.v mobile 2. when my other friends are playing but i have to study. 3. projects, homework, assessments. 4. yes 5. mobile 6. sometimes. if i dont clear for any subject / matter. 7. sometimes i feel parents and teachers expect much more from us. 8. no. 9. no. 10. yes, we have healthy competition. ",NIL,NIL,1,1,1,1,NIL,NIL
348,"the problem i face while studying are noises from the window like honking of cars, bikes often distracts me while studying. studying while watching tv again distracts me the most. i try to concentrate on my studies but i cant. debates with any friends or parents also make me feel uncomfortable and irritated which impact my studies. confusion in the topic i am studying makes it impossible to study. i often hesitate in asking doubts because i dont feel comfortable while doing so. ","irritable,distracted,confused,upset","irritable,anxious,upset,confused,adamant,distracted",0.666666667,1,0.8,0.933333333,"{'noise': 'irritable', 'distract': 'distracted', 'tv': 'distracted', 'debate': 'adamant', 'uncomfortable': 'upset', 'irritated': 'irritable', 'confusion': 'confused', 'hesitate': 'anxious'}","{'irritable': 85, 'distracted': 99, 'adamant': 60, 'upset': 80, 'confused': 100, 'anxious': 80}"
349,"in todays atmosphere we all distracted because of phones. we all watch videos , tv web series. many times our friends distract us by calling or saying abe itana mat padh. parents from our 8th standard started asking many times about studies, results. also all relatives ask us what is your future plans. now we are also confused as there are so many fields and streams available. everyone think differently. we need time to think about our career. sometimes we feel just to concentrate on present and dont think about career too much. but parents feel we should have some plans in our mind now. we require guidance. ",NIL,NIL,1,1,1,1,NIL,NIL
350,"overthinking. i get irritated when i am unable to learn study. i bother for my marks as i get average marks even if i study more. i feel pressure because i am unable to know few subjects. my phone or background disturbance. i get confused because sometime 2 different things are taught for 1 sum. no, i am weak in few subjects. yes. no, i dont feel so. no, nobody.","anxious,irritable","anxious,irritable",1,1,1,1,"{'pressure': 'anxious', 'disturbance': 'irritable'}","{'anxious': 80, 'irritable': 80}"
351,"the things that take me in deep sorrow is none other than my future which unable me to study. i get irritated when my parents force me to study and tell me all is study in one's life. my future bother me the most, related to my studies. yes i feel pressure or kind of it sometimes not always. my future distracts me a lot while studying and though i score 80% marks i feel like what if i will fail. no. no. they are essential. my parents.","distracted,sad","upset,sad,distracted",0.666666667,1,0.8,0.965517241,"{'sorrow': 'sad', 'bother me': 'upset', 'distract': 'distracted', 'fail': 'sad'}","{'sad': 80, 'upset': 60, 'distracted': 100}"
352,"i feel like i have too much expectations and pressure on me, my distraction often bother me a lot. i do really get irritated with my studies as the work get piled up at the last moment and i i regreat not doing it on time. yes, i do feel a lot of pressure on me always. my hobbies signing and editing distracts me a lot. no, i dont confused while doing studies as i tend to plan my studies everytime. no, i dont feel like i know everything byt my parents are asking me to study. no, i dont hesitate to ask any query in the class. i dont always have doubt in studies. sometimes, i do feel like studies are not tha tessential and that's when i end up singing songs. yes, my mother does compare me with my friends very often. ","anxious,upset,distracted,irritable","upset,anxious,irritable,distracted",1,1,1,1,"{'pressure': 'anxious', 'distraction': 'distracted', 'bother me': 'upset', 'irritated': 'irritable', 'distract': 'distracted', 'compare': 'upset'}","{'anxious': 80, 'distracted': 100, 'upset': 73, 'irritable': 100}"
353,"i want to be a scientist sometimes when i am unable to study i feel like i am not worth it. when everything piles up and i am still getting distracted. when i am getting distracted constantly and i am wasting a lot of time. yes, sometimes when my exam is near. electronic gadgets. no, no, no, no, no, i think studies are essential for me. ",NIL,NIL,1,1,1,1,NIL,NIL
354,"sometimes when i work on something for a long time but its wrong i feel like not studying. when there is too much work i get irritated. no, studies are essential. ",NIL,NIL,1,1,1,1,NIL,NIL
355,"sexism, cyber bullying, fake friends in society take me in deep sorrow. when i have incomplete work or less time i get irritated about my studies. youtube distracts me. yes, my parents do compare me with others. ","upset,distracted,sad","upset,sad,distracted",1,1,1,1,"{'fake': 'distracted', 'sorrow': 'sad', 'youtube': 'distracted', 'distract': 'distracted', 'compare': 'upset'}","{'distracted': 88, 'sad': 80, 'upset': 80}"
356,"i dont pay much attention to my surroundings or anything which i would think distracts me, so it doesnt affect my studies. i get irritated about my studies when particularly studying about science and maths for long time. when it comes to my studies, maths bothers me the most because i never found it interesting. during exam i feel some pressure with my studies, where as i regular school there is no pressure on studying. somethimes gadgets like laptop and mobile distract me a lot specially the games addict me much than chatting. no, i never get confused while doing studies. no, i dont feel so because revision of erery topic is important. no, i dont hesitate asking my queries in any class. no, i dont feel so as basic studies are important for everyone. no, i nor my parents compare my score or pattern of studies with any of my friends or my classmates. ","anxious,distracted,panic","anxious,panic,distracted",1,1,1,1,"{'pressure': 'anxious', 'mobile': 'distracted', 'distract': 'distracted', 'addict': 'panic'}","{'anxious': 80, 'distracted': 97, 'panic': 90}"
357,"the things take me in deep sorrow because when i was studying online the screen time and in classes i dont understand what teacher say. i get irritated when i am sitting for studies then my parents tell me to do work and then my friend text me again and again then i get irritated. what bother me about my studies is maths if i get irritated then i dont undrstand anything and i get bored. yes by my parents. my friends or mobile phone , family. no, only when i get bored. no, but when i have some silly doubts then i hesitate to ask. i feel that they are essential for me. yes, my parents compare me with my cousins and friends. ","upset,irritable","upset,irritable",1,1,1,1,"{'irritated': 'irritable', 'bother me': 'upset', 'compare': 'upset'}","{'irritable': 100, 'upset': 73}"
358,"nothing really affect me so much in particular to take me in deep sorrow. it irrtates me the most when the things given in the book are not to the point and precise. when i am not prepared for exam or class. mobile and friends distract me. i do get confused in choosing the subjects but not once i start studying. no, there always some part that is left e.g. the small yellow box. no, they are essential for the development of brain, and a good carrer of course. no, since young i was alwyas taught to not compare myself, hence my parents make it a point not to, friends do compare sometimes but it doesnt really bother me much.  ",distracted,"confused,distracted",0.5,1,0.666666667,0.965517241,"{'mobile': 'distracted', 'distract': 'distracted', 'confuse': 'confused'}","{'distracted': 99, 'confused': 100}"
359,the pressure of completing a lot of activities along with the studies during online sessions take me in deep sorrow. when i dont understand the concept but have to keep up with teacher's pace. when i have to learn something that wont really help me in the future. mobile and friends also chaotic surroundings sometimes distracts me. i get confused while learning science related topics because i dont have much interest in it. yes but i ignore that comparison as much as i can. ,"confused,sad,anxious","anxious,confused,sad",1,1,1,1,"{'pressure': 'anxious', 'sorrow': 'sad', 'confused': 'confused'}","{'anxious': 80, 'sad': 80, 'confused': 100}"
360,"failure to get good marks in previous tests, stress of exam . i get irritated when i have to write a lot. very lengthy answers which have to be learnt in the exact way they are given in the book is very hard for me. yes, i have the pressure to score good marks. my parents dont pressurise me but i feel bad if i get bad marks. gadgets and friends. no, i am good at academics. i dont feel like i know everything, in fact i am always nervous and so keep revising till the exam starts. no, i always ask my doubts openly. i feel that studies are very important for my future. no one specially compares me with my friends but sometimes i myself tend to do so. ","bored,sad,anxious,nervous","sad,proud,anxious,bored,frustrated",0.6,0.75,0.666666667,0.896551724,"{'lengthy': 'bored', 'feel bad': 'sad', 'i know everything': 'proud', 'pressure': 'anxious', 'bad': 'frustrated'}","{'bored': 70, 'sad': 80, 'proud': 60, 'anxious': 80, 'frustrated': 60}"
361,"failing in achieving previous goals. when i m unable to understand something even after a lot practice. when i keep thinking about exam. not during normal studies. gadgets. no. no, but i always feel that something is left to learn. no, because i think if i dont ask my doubt in class i will never be able to understand the topic. no my friend circle is very competitive, so we all keep competing among ouerselves. ",NIL,NIL,1,1,1,1,NIL,NIL
362,"bad environment doesnt help me study at all. studies get irritating at some point after continuous reading. high noise pollution is really frustrating. not much pressure is felt during studies. noise pollution is really distracting. no, i dont distracted during studies. i never feel that i know everything. ",NIL,NIL,1,1,1,1,NIL,NIL
